Student del resid,h,dffits,DFBETAS (Intercept),DFBETAS brandbmw,DFBETAS brandmerc,DFBETAS year,DFBETAS transmissionManual,DFBETAS mileage,DFBETAS fuelTypePetrol,DFBETAS tax,DFBETAS engineSize
81,42,42,25,3,20,25,42,100,3,20,3
115,46,51,42,19,31,42,51,115,42,42,51
134,51,55,85,51,33,85,55,134,51,51,55
151,55,81,97,55,42,97,81,151,55,55,81
203,66,85,134,79,44,134,115,210,81,80,85
267,71,93,199,81,55,199,134,222,85,81,93
285,85,97,203,85,78,203,162,252,93,85,104
528,93,115,210,93,85,210,203,271,97,93,115
546,100,134,222,97,91,222,252,373,115,107,134
656,111,151,248,115,93,248,257,393,134,115,162
699,134,162,309,129,115,309,355,397,151,124,178
743,162,203,336,134,124,336,391,402,178,134,188
779,199,210,373,151,134,373,418,418,203,188,203
875,203,234,397,162,149,397,461,493,210,203,207
933,222,248,402,203,169,402,528,513,248,234,252
972,234,252,418,210,203,418,606,528,257,252,257
986,257,257,458,234,248,458,628,575,285,257,267
1002,285,267,528,257,252,528,699,628,301,267,285
1069,309,285,606,267,267,606,779,660,332,285,301
1346,311,332,628,269,285,628,875,675,362,309,327
1383,327,362,660,285,347,660,924,801,439,332,332
1421,336,373,779,294,394,779,933,823,461,376,403
1437,357,392,823,301,403,823,986,852,466,418,415
1495,373,394,875,362,415,875,1002,888,478,422,427
1508,397,397,933,392,418,933,1006,930,517,458,439
1554,402,402,945,403,422,945,1042,945,528,504,458
1679,418,415,970,414,439,970,1069,986,545,528,466
1695,427,418,994,415,461,994,1123,994,546,545,477
1736,448,439,1002,417,519,1002,1220,1006,554,590,528
1767,458,458,1006,425,528,1006,1326,1042,575,606,542
1795,477,478,1042,432,542,1042,1350,1123,590,612,545
1895,491,504,1069,451,545,1069,1375,1131,606,617,554
1908,504,517,1123,458,567,1123,1381,1133,628,660,567
1956,509,528,1131,466,582,1131,1383,1173,656,672,597
1977,525,542,1141,470,597,1141,1415,1177,679,680,606
1997,527,545,1160,478,606,1160,1421,1189,699,699,628
2050,528,546,1173,486,628,1173,1477,1212,740,710,680
2099,553,567,1177,504,638,1177,1560,1282,743,743,699
2104,563,575,1189,513,680,1189,1561,1294,745,745,743
2106,564,601,1246,517,685,1246,1571,1303,779,779,745
2262,575,606,1278,528,699,1278,1688,1350,864,792,753
2380,603,617,1282,546,743,1282,1755,1381,875,819,768
2406,617,628,1294,554,745,1294,1777,1384,933,864,779
2433,628,656,1295,597,747,1295,1845,1415,951,875,813
2508,660,660,1303,601,758,1303,1869,1421,972,933,833
2571,697,679,1321,606,810,1321,1871,1437,986,972,864
2577,710,685,1336,617,819,1336,1897,1458,1002,986,875
2648,743,699,1381,628,829,1381,1940,1486,1014,1002,911
2659,745,710,1384,633,846,1384,1991,1495,1016,1016,951
2699,749,737,1415,656,860,1415,1995,1560,1069,1069,970
2795,753,743,1420,660,875,1420,1997,1561,1113,1123,972
2915,759,745,1421,675,892,1421,2099,1591,1121,1133,986
2961,768,779,1458,679,893,1458,2104,1605,1122,1177,1002
3059,779,829,1486,680,907,1486,2115,1635,1123,1193,1006
3072,794,833,1495,736,911,1495,2146,1667,1177,1220,1014
3104,852,852,1561,737,924,1561,2147,1688,1223,1223,1016
3151,870,864,1566,740,971,1566,2204,1707,1321,1322,1069
3183,872,875,1567,743,979,1567,2217,1765,1322,1336,1113
3192,875,911,1591,745,986,1591,2267,1767,1336,1346,1121
3235,945,933,1635,768,992,1635,2274,1831,1338,1381,1122
3343,970,970,1667,780,1041,1667,2380,1877,1383,1383,1123
3378,986,972,1684,795,1065,1684,2394,1897,1389,1415,1157
3398,1002,986,1688,800,1069,1688,2433,1927,1391,1421,1177
3399,1006,1002,1707,801,1071,1707,2482,1940,1415,1481,1220
3650,1042,1006,1733,816,1093,1733,2501,1991,1421,1495,1223
3678,1054,1016,1765,835,1116,1765,2561,2088,1495,1508,1322
3749,1069,1042,1767,855,1153,1767,2577,2092,1508,1543,1336
3802,1113,1069,1777,864,1157,1777,2616,2099,1554,1554,1345
3898,1119,1093,1831,875,1177,1831,2632,2115,1561,1679,1346
3933,1122,1123,1871,888,1245,1871,2639,2166,1586,1684,1375
3946,1123,1131,1924,920,1282,1924,2678,2199,1614,1733,1381
4030,1131,1160,1940,932,1326,1940,2796,2204,1641,1759,1383
4031,1133,1173,2115,951,1332,2115,2812,2217,1679,1767,1389
4211,1135,1177,2147,970,1345,2147,2817,2262,1684,1777,1415
4330,1160,1220,2166,972,1346,2166,2961,2344,1688,1778,1421
4360,1173,1223,2199,984,1350,2199,2964,2432,1695,1780,1437
4368,1177,1282,2262,986,1383,2262,3059,2463,1736,1831,1508
4382,1189,1296,2294,987,1384,2294,3072,2501,1755,1845,1518
4467,1223,1321,2406,999,1391,2406,3134,2573,1759,1858,1535
4573,1282,1336,2432,1001,1414,2432,3151,2591,1767,1877,1554
4819,1295,1338,2463,1006,1415,2463,3163,2597,1777,1878,1558
4942,1303,1345,2501,1016,1421,2501,3164,2599,1778,1879,1566
,1327,1346,2523,1028,1437,2523,3174,2639,1801,1895,1586
,1341,1350,2573,1066,1438,2573,3181,2653,1845,1897,1614
,1350,1375,2597,1069,1476,2597,3235,2678,1846,1908,1641
,1375,1381,2611,1082,1508,2611,3310,2713,1855,1940,1677
,1381,1383,2639,1101,1518,2639,3458,2742,1866,1977,1679
,1384,1384,2678,1136,1532,2678,3473,2783,1878,1997,1681
,1420,1415,2703,1144,1535,2703,3482,2795,1879,2050,1684
,1421,1421,2783,1157,1536,2783,3542,2801,1895,2097,1736
,1431,1437,2795,1177,1554,2795,3600,2913,1897,2099,1755
,1458,1458,2796,1180,1560,2796,3650,2943,1908,2104,1759
,1481,1486,2847,1183,1594,2847,3661,2961,1927,2128,1767
,1486,1495,2913,1220,1620,2913,3664,3015,1956,2146,1777
,1508,1508,2915,1223,1677,2915,3672,3035,1977,2147,1778
,1510,1535,2943,1268,1679,2943,3678,3036,1991,2190,1795
,1543,1543,2954,1277,1682,2954,3807,3072,1997,2204,1845
,1545,1554,2980,1296,1684,2980,3831,3134,2050,2242,1866
,1548,1560,3015,1299,1730,3015,3884,3163,2097,2262,1871
,1554,1561,3027,1307,1736,3027,3898,3192,2099,2267,1878
,1558,1566,3035,1310,1759,3035,3946,3237,2104,2274,1879
,1560,1586,3059,1318,1764,3059,3995,3261,2106,2309,1895
,1561,1589,3132,1321,1765,3132,4002,3307,2131,2357,1897
,1566,1614,3151,1322,1767,3151,4017,3310,2146,2380,1908
,1567,1659,3164,1338,1777,3164,4076,3329,2147,2385,1940
,1591,1667,3177,1346,1778,3177,4094,3378,2207,2406,1977
,1635,1677,3192,1375,1795,3192,4172,3399,2235,2422,1997
,1667,1679,3214,1404,1811,3214,4186,3473,2262,2433,2050
,1679,1684,3226,1421,1825,3226,4188,3482,2288,2463,2097
,1681,1688,3235,1437,1845,3235,4236,3627,2290,2485,2099
,1684,1695,3237,1441,1846,3237,4265,3650,2323,2501,2104
,1688,1733,3287,1490,1855,3287,4330,3735,2357,2508,2128
,1707,1736,3310,1493,1858,3310,4360,3748,2364,2535,2146
,1733,1755,3329,1495,1872,3329,4366,3824,2365,2552,2147
,1739,1759,3378,1508,1879,3378,4367,3825,2380,2577,2204
,1755,1765,3399,1518,1895,3399,4368,3831,2432,2597,2217
,1759,1767,3409,1520,1897,3409,4382,3859,2433,2609,2265
,1765,1777,3473,1535,1908,3473,4385,3884,2485,2637,2267
,1767,1778,3600,1543,1940,3600,4387,3946,2501,2639,2274
,1778,1795,3627,1545,1977,3627,4493,3963,2508,2659,2288
,1780,1801,3650,1549,1989,3650,4573,3976,2523,2699,2290
,1817,1845,3735,1554,1991,3735,4579,4017,2532,2703,2313
,1831,1871,3748,1561,1995,3748,4580,4042,2563,2705,2323
,1866,1878,3802,1562,1997,3802,4618,4071,2571,2721,2330
,1871,1879,3825,1566,2011,3825,4661,4186,2577,2762,2344
,1877,1895,3828,1586,2015,3828,4676,4234,2611,2785,2357
,1878,1897,3831,1589,2050,3831,4679,4299,2616,2796,2380
,1879,1908,3859,1614,2065,3859,4690,4330,2648,2827,2394
,1895,1940,3884,1629,2081,3884,4753,4346,2659,2915,2397
,1897,1956,3898,1641,2089,3898,4765,4360,2699,2927,2400
,1908,1977,3933,1644,2092,3933,4778,4361,2703,2954,2406
,1937,1991,3968,1659,2097,3968,4792,4366,2779,2961,2432
,1940,1997,3976,1677,2133,3976,4819,4391,2796,3015,2433
,1941,2050,4030,1679,2146,4030,4836,4493,2801,3035,2463
,1977,2097,4042,1684,2147,4042,4868,4573,2827,3036,2482
,1994,2099,4055,1687,2176,4055,4882,4579,2899,3037,2485
,2017,2104,4071,1688,2191,4071,4888,4653,2915,3038,2501
