Student del resid,h,dffits,DFBETAS (Intercept),DFBETAS brandbmw,DFBETAS brandford,DFBETAS brandhyundi,DFBETAS brandvauxhall,DFBETAS transmissionManual,DFBETAS mileage,DFBETAS fuelTypePetrol,DFBETAS engineSize
134,2,22,4,19,22,17,2,17,42,3,34
222,11,42,36,51,25,18,11,23,46,17,42
397,46,51,42,70,26,42,64,42,58,22,51
418,51,64,51,77,42,58,90,55,66,23,55
528,55,81,55,79,55,80,117,77,100,64,64
564,64,85,81,81,67,153,160,162,113,81,81
779,85,93,85,97,85,202,175,173,115,85,85
945,90,97,93,134,93,230,218,189,173,93,93
1002,93,113,115,151,99,274,346,222,182,123,123
1042,100,117,123,162,113,312,369,248,199,134,134
1123,110,134,134,199,123,332,375,252,222,199,162
1141,111,160,162,203,125,346,380,309,252,203,199
1173,117,162,199,210,194,372,382,316,271,210,203
1189,122,173,203,222,215,396,397,346,287,222,234
1220,126,199,234,257,224,483,409,359,309,243,252
1405,133,203,257,275,243,506,472,396,332,248,257
1431,136,210,271,285,271,547,646,418,336,264,267
1486,160,222,285,309,282,548,712,427,373,282,285
1561,162,243,309,327,285,549,750,433,388,285,309
1566,175,252,311,392,297,559,794,448,392,297,311
1591,199,271,327,417,304,630,796,485,393,298,327
1667,216,282,332,432,313,646,844,491,397,301,332
1941,218,285,353,448,336,688,930,509,404,309,427
2104,257,309,427,458,346,731,933,547,418,311,439
2199,263,327,439,466,352,752,953,555,433,327,458
2501,278,332,458,478,363,828,963,564,448,332,466
2573,285,336,461,491,366,833,993,603,458,336,504
2597,311,346,504,504,383,856,1002,646,548,346,509
2678,327,352,509,509,388,883,1012,654,553,352,528
2680,332,380,528,517,406,913,1021,712,564,397,564
2783,369,397,550,528,413,927,1075,779,575,406,606
2795,373,406,564,546,427,929,1100,791,590,413,628
2847,375,413,603,564,436,933,1129,794,641,439,643
2913,380,418,612,600,442,935,1139,805,646,448,650
3063,382,442,628,603,541,961,1181,807,650,458,710
3092,397,448,643,606,591,1002,1227,821,654,466,712
3097,398,458,650,628,592,1029,1246,845,759,509,743
3134,409,472,699,633,615,1042,1304,858,779,528,745
3237,418,509,710,656,639,1059,1323,883,791,547,768
3441,427,528,712,700,641,1074,1335,927,792,554,779
3650,443,564,743,710,646,1078,1386,933,864,564,794
3735,454,591,745,740,655,1096,1387,936,910,606,833
3825,458,615,768,743,689,1123,1405,945,930,628,864
3976,472,628,779,745,690,1131,1454,946,933,641,875
4055,490,639,794,759,715,1161,1492,982,945,643,972
4098,525,646,805,768,730,1173,1499,996,957,646,986
4330,527,655,829,780,744,1195,1530,1002,969,655,1002
4542,557,689,864,800,745,1198,1540,1006,982,710,1006
4573,568,690,875,875,757,1203,1541,1018,994,712,1042
4674,575,712,922,920,763,1209,1573,1029,996,743,1069
4690,579,743,958,932,775,1252,1585,1042,1002,745,1113
4739,628,744,972,945,779,1259,1635,1055,1004,779,1121
4893,629,745,986,972,787,1267,1680,1077,1006,788,1122
4921,664,759,1002,984,790,1283,1707,1117,1042,790,1123
,706,779,1006,986,802,1333,1741,1123,1077,791,1133
,712,794,1061,999,805,1336,1945,1176,1119,794,1141
,714,805,1069,1001,817,1351,1958,1185,1121,864,1173
,732,864,1113,1006,836,1367,1960,1189,1123,875,1177
,745,875,1121,1069,864,1405,2063,1212,1131,883,1220
,749,883,1122,1082,876,1422,2083,1220,1141,890,1223
,750,927,1123,1101,880,1444,2091,1251,1143,910,1322
,768,930,1133,1113,933,1448,2117,1282,1160,927,1336
,794,933,1141,1121,939,1458,2269,1315,1173,933,1346
,796,945,1173,1122,966,1498,2272,1319,1176,945,1375
,833,972,1177,1176,982,1512,2355,1350,1189,951,1381
,840,986,1220,1189,994,1528,2448,1351,1193,972,1421
,843,994,1223,1220,1002,1572,2501,1381,1212,986,1431
,844,996,1295,1223,1018,1590,2505,1384,1213,996,1458
,852,1002,1315,1240,1049,1598,2597,1386,1220,1002,1508
,867,1006,1322,1268,1055,1608,2604,1405,1246,1003,1543
,870,1029,1336,1296,1056,1611,2678,1420,1251,1006,1545
,872,1042,1375,1299,1141,1624,2690,1421,1278,1016,1548
,875,1056,1381,1307,1143,1707,2727,1431,1282,1029,1554
,898,1069,1383,1310,1146,1738,2745,1444,1294,1042,1566
,930,1113,1392,1321,1174,1794,2786,1528,1295,1055,1567
,953,1121,1405,1336,1177,1805,2813,1530,1303,1056,1586
,963,1122,1421,1341,1190,1838,2839,1548,1320,1069,1591
,970,1123,1431,1375,1191,1929,2894,1561,1327,1077,1614
,986,1129,1486,1389,1193,1971,2908,1565,1341,1113,1679
,993,1131,1508,1397,1208,1974,2913,1591,1350,1119,1684
,1005,1139,1543,1421,1213,1983,2938,1623,1386,1121,1755
,1006,1141,1545,1431,1248,1992,2992,1666,1405,1122,1759
,1012,1173,1548,1441,1251,2019,2998,1683,1420,1123,1767
,1015,1176,1554,1493,1278,2104,3011,1688,1430,1141,1774
,1020,1189,1566,1495,1290,2128,3020,1707,1431,1173,1777
,1021,1193,1586,1508,1294,2231,3027,1717,1458,1176,1778
,1026,1212,1591,1543,1303,2250,3065,1730,1461,1189,1780
,1075,1213,1614,1545,1312,2258,3078,1762,1486,1193,1866
,1083,1220,1635,1549,1315,2296,3111,1765,1510,1211,1871
,1098,1223,1679,1554,1320,2299,3132,1787,1528,1213,1878
,1099,1246,1684,1561,1328,2409,3155,1831,1560,1220,1895
,1100,1248,1701,1562,1344,2426,3171,1845,1561,1223,1908
,1115,1278,1739,1566,1362,2448,3222,1873,1566,1248,1937
,1123,1282,1755,1567,1364,2464,3260,1929,1567,1278,1941
,1129,1294,1759,1586,1388,2470,3273,1937,1591,1282,1977
,1131,1295,1767,1591,1398,2486,3369,1940,1604,1295,1994
,1139,1303,1774,1614,1402,2488,3372,1941,1605,1312,2030
,1149,1312,1778,1644,1405,2494,3468,1960,1635,1320,2050
,1160,1315,1780,1659,1406,2500,3475,1983,1648,1322,2097
,1163,1321,1817,1679,1409,2501,3487,2019,1666,1336,2099
,1173,1336,1831,1688,1428,2512,3526,2088,1688,1351,2104
,1177,1350,1832,1695,1446,2523,3549,2091,1702,1384,2115
,1181,1351,1866,1739,1455,2582,3658,2104,1730,1389,2128
,1227,1375,1871,1744,1460,2586,3670,2105,1733,1391,2147
,1246,1386,1873,1755,1461,2597,3685,2111,1739,1405,2149
,1276,1405,1878,1759,1480,2599,3779,2115,1765,1420,2192
,1295,1420,1895,1767,1486,2622,3786,2125,1828,1421,2217
,1303,1421,1908,1777,1508,2630,3803,2136,1831,1428,2267
,1304,1428,1937,1782,1516,2647,3825,2204,1845,1442,2274
,1323,1431,1940,1801,1528,2695,3852,2217,1862,1444,2309
,1324,1444,1941,1863,1554,2711,3910,2243,1866,1449,2310
,1335,1458,1977,1866,1557,2713,3976,2245,1877,1458,2330
,1348,1461,1991,1871,1561,2766,4056,2267,1879,1480,2332
,1350,1480,1997,1878,1565,2781,4067,2310,1924,1495,2341
,1375,1486,2022,1908,1568,2782,4098,2341,1925,1508,2344
,1381,1495,2050,1924,1588,2785,4187,2367,1940,1528,2357
