Student del resid,h,dffits,DFBETAS (Intercept),DFBETAS brandbmw,DFBETAS brandhyundi,DFBETAS brandmerc,DFBETAS transmissionManual,DFBETAS transmissionSemi.Auto,DFBETAS mileage,DFBETAS tax,DFBETAS engineSize
81,46,42,4,3,58,3,3,3,10,4,3
115,51,51,13,19,80,20,4,13,42,20,51
134,55,55,20,51,107,29,13,29,44,42,55
151,66,81,42,55,115,31,42,31,58,55,81
203,85,85,44,79,230,33,51,33,93,85,85
267,93,93,51,81,324,44,55,51,100,93,93
528,100,97,55,85,332,55,81,81,107,109,115
606,107,115,81,93,367,85,85,85,115,115,134
656,111,134,85,97,506,93,134,93,129,124,162
743,162,151,93,115,547,115,162,97,173,134,188
779,199,162,134,129,657,124,203,115,182,188,199
875,234,199,162,134,833,134,252,134,199,203,203
933,257,203,199,151,875,144,257,151,203,222,207
972,285,210,203,162,877,169,333,162,248,234,252
986,309,234,234,188,883,199,415,170,252,252,257
1002,311,248,248,203,913,203,441,178,267,267,267
1069,327,252,257,210,927,222,458,188,271,285,285
1123,332,257,267,234,933,231,509,203,285,309,327
1346,373,267,285,257,986,248,527,207,295,327,332
1383,418,285,309,267,1002,252,743,210,332,332,403
1421,427,309,327,269,1029,267,745,231,373,418,415
1486,448,327,332,285,1059,285,779,234,392,458,427
1495,458,332,333,301,1074,295,805,248,400,504,439
1554,477,362,373,332,1123,309,875,267,402,509,458
1566,491,373,439,362,1131,347,933,269,415,527,466
1591,504,392,441,392,1203,394,972,285,418,528,477
1679,509,394,458,403,1217,415,986,295,433,563,528
1736,525,415,504,414,1267,418,1002,301,448,567,542
1767,527,418,509,415,1336,439,1006,333,458,612,545
1777,548,439,527,417,1351,458,1016,355,528,617,567
1895,563,458,528,432,1444,519,1123,362,542,660,597
1908,575,478,545,451,1462,528,1137,391,546,678,606
1956,617,504,617,458,1486,535,1177,392,564,699,628
1997,628,509,628,461,1590,542,1220,394,567,710,680
2050,660,517,638,466,1608,545,1223,403,575,743,699
2099,710,527,660,470,1611,564,1315,415,590,745,743
2104,745,528,680,477,1767,567,1350,432,628,779,745
2106,749,542,710,478,1794,582,1351,441,656,792,753
2147,759,545,712,486,1834,597,1375,448,743,864,779
2262,768,546,743,504,1940,606,1381,458,779,872,813
2406,852,564,745,509,1983,628,1383,461,792,875,833
2433,870,567,768,513,1992,638,1421,466,852,933,864
2501,872,575,779,517,2019,643,1437,477,864,945,875
2508,875,601,794,527,2068,685,1444,517,875,971,911
2571,935,606,805,528,2128,693,1535,528,888,986,951
2577,970,617,833,546,2338,699,1543,542,911,1002,970
2648,986,628,852,554,2464,710,1571,545,930,1006,972
2659,1006,656,864,601,2470,719,1586,546,933,1069,973
2699,1054,660,872,606,2486,743,1641,554,986,1113,986
2795,1123,679,875,633,2488,745,1684,567,994,1123,1002
2915,1131,685,893,656,2494,747,1755,597,1001,1177,1006
2961,1133,699,970,660,2501,758,1759,606,1002,1189,1016
3015,1173,710,972,675,2512,810,1777,612,1006,1220,1069
3035,1177,737,986,679,2523,813,1787,628,1016,1223,1113
3072,1295,740,1002,680,2599,819,1832,656,1069,1336,1121
3104,1327,743,1006,699,2647,829,1845,678,1123,1346,1122
3151,1336,745,1069,736,2664,842,1869,679,1131,1381,1123
3183,1350,779,1121,737,2695,846,1871,685,1160,1383,1157
3192,1375,829,1122,740,2713,860,1873,699,1166,1392,1177
3235,1381,833,1123,743,2785,875,1878,719,1212,1405,1220
3343,1421,852,1137,745,2789,892,1897,737,1220,1415,1223
3399,1431,864,1177,759,2854,893,1922,740,1294,1421,1322
3650,1481,875,1220,768,2892,907,1940,743,1295,1495,1336
3678,1486,911,1223,780,2948,911,1991,745,1303,1508,1346
3735,1508,933,1315,795,2961,957,1997,773,1350,1528,1375
